Service,CabType,Source,Destination,Fare
Uber,Auto,Seawoods,Bhiwandi,730
Ola,Bike,Nerul,Thane,702
Uber,XL,Nerul,Thane,706
Ola,Sedan,Dadar,Mumbai Central,477
Uber,Prime,Dadar,Mumbai Central,524
Ola,Auto,Colaba,Kurla,463
Uber,Prime,Colaba,Kurla,425
Ola,Auto,Kurla,Mumbai Central,318
Uber,XL,Kurla,Mumbai Central,289
Ola,Bike,Mira Road,Mumbai Central,504
Uber,Mini,Mira Road,Mumbai Central,503
Ola,Auto,Vasai,Mumbai Central,261
Uber,Auto,Vasai,Mumbai Central,266
Ola,Prime,Vikhroli,Powai,744
Uber,Auto,Vikhroli,Powai,811
Ola,Sedan,Kalyan,Ghatkopar,525
Uber,Bike,Kalyan,Ghatkopar,614
Ola,Prime,Kalyan,Bandra,717
Uber,Auto,Kalyan,Bandra,759
Ola,Sedan,Thane,Vikhroli,592
Uber,XL,Thane,Vikhroli,647
Ola,Auto,Ghatkopar,Nerul,357
Uber,Bike,Ghatkopar,Nerul,368
Ola,Bike,Chembur,Powai,346
Uber,Prime,Chembur,Powai,296
Ola,Mini,Bandra,Mira Road,504
Uber,Bike,Bandra,Mira Road,486
Ola,Mini,Dadar,Bandra,747
Uber,Prime,Dadar,Bandra,780
Ola,Sedan,Vikhroli,Bandra,507
Uber,Auto,Vikhroli,Bandra,505
Ola,Bike,Vikhroli,Mira Road,363
Uber,Auto,Vikhroli,Mira Road,310
Ola,XL,Bandra,Powai,534
Uber,Prime,Bandra,Powai,563
Ola,Prime,Mulund,Borivali,477
Uber,Sedan,Mulund,Borivali,457
Ola,Sedan,Andheri,Mira Road,796
Uber,XL,Andheri,Mira Road,815
Ola,XL,Kurla,Chembur,401
Uber,Bike,Kurla,Chembur,382
Ola,XL,Bhiwandi,Panvel,338
Uber,Bike,Bhiwandi,Panvel,324
Ola,Bike,Seawoods,Bandra,565
Uber,Mini,Seawoods,Bandra,611
Ola,Sedan,Seawoods,Colaba,331
Uber,Bike,Seawoods,Colaba,420
Ola,Sedan,Mumbai Central,Ghatkopar,579
Uber,Sedan,Mumbai Central,Ghatkopar,555
Ola,Mini,Kurla,Nerul,354
Uber,Prime,Kurla,Nerul,357
Ola,XL,Bhiwandi,Colaba,509
Uber,XL,Bhiwandi,Colaba,514
Ola,Auto,Borivali,Ghatkopar,754
Uber,Prime,Borivali,Ghatkopar,766
Ola,Bike,Colaba,Kalyan,613
Uber,Prime,Colaba,Kalyan,669
Ola,Prime,Kurla,Mira Road,235
Uber,Mini,Kurla,Mira Road,240
Ola,Sedan,Borivali,Panvel,451
Uber,Bike,Borivali,Panvel,425
Ola,Sedan,Seawoods,Kurla,557
Uber,Auto,Seawoods,Kurla,533
Ola,Sedan,Nerul,Vasai,299
Uber,XL,Nerul,Vasai,366
Ola,Bike,Seawoods,Thane,293
Uber,Auto,Seawoods,Thane,382
Ola,Mini,Seawoods,Mulund,338
Uber,XL,Seawoods,Mulund,352
Ola,Sedan,Vikhroli,Thane,714
Uber,XL,Vikhroli,Thane,644
Ola,Bike,Dadar,Mumbai Central,366
Uber,Mini,Dadar,Mumbai Central,309
Ola,XL,Mumbai Central,Mulund,582
Uber,XL,Mumbai Central,Mulund,531
Ola,Auto,Mira Road,Borivali,201
Uber,Mini,Mira Road,Borivali,200
Ola,Mini,Panvel,Powai,676
Uber,Bike,Panvel,Powai,711
Ola,Sedan,Mumbai Central,Mulund,647
Uber,Sedan,Mumbai Central,Mulund,678
Ola,Prime,Mumbai Central,Ghatkopar,372
Uber,Prime,Mumbai Central,Ghatkopar,384
Ola,Bike,Thane,Vikhroli,448
Uber,Bike,Thane,Vikhroli,496
Ola,Prime,Powai,Thane,656
Uber,Sedan,Powai,Thane,591
Ola,XL,Mulund,Thane,334
Uber,Prime,Mulund,Thane,335
Ola,Prime,Ghatkopar,Borivali,694
Uber,Auto,Ghatkopar,Borivali,688
Ola,XL,Bhiwandi,Mumbai Central,538
Uber,Bike,Bhiwandi,Mumbai Central,559
Ola,Auto,Kalyan,Mira Road,427
Uber,Auto,Kalyan,Mira Road,425
Ola,Mini,Andheri,Seawoods,561
Uber,Sedan,Andheri,Seawoods,566
Ola,Auto,Vikhroli,Thane,351
Uber,Bike,Vikhroli,Thane,434
Ola,Prime,Kalyan,Ghatkopar,508
Uber,Auto,Kalyan,Ghatkopar,471
Ola,Mini,Bandra,Mumbai Central,476
Uber,Mini,Bandra,Mumbai Central,472
Ola,Sedan,Andheri,Ghatkopar,310
Uber,Mini,Andheri,Ghatkopar,290
Ola,Mini,Mulund,Bandra,460
Uber,Mini,Mulund,Bandra,457
Ola,Bike,Nerul,Mulund,699
Uber,Bike,Nerul,Mulund,695
Ola,Auto,Kurla,Nerul,247
Uber,Sedan,Kurla,Nerul,315
Ola,Auto,Kurla,Colaba,724
Uber,Bike,Kurla,Colaba,805
Ola,XL,Powai,Bhiwandi,245
Uber,Sedan,Powai,Bhiwandi,238
Ola,Auto,Panvel,Mira Road,444
Uber,Prime,Panvel,Mira Road,486
Ola,XL,Kalyan,Bhiwandi,324
Uber,Sedan,Kalyan,Bhiwandi,377
Ola,Mini,Vikhroli,Andheri,207
Uber,XL,Vikhroli,Andheri,215
Ola,Prime,Seawoods,Borivali,778
Uber,Sedan,Seawoods,Borivali,803
Ola,Prime,Colaba,Andheri,617
Uber,XL,Colaba,Andheri,595
Ola,Prime,Chembur,Kurla,246
Uber,Auto,Chembur,Kurla,181
Ola,Bike,Kurla,Nerul,314
Uber,Prime,Kurla,Nerul,261
Ola,Prime,Kurla,Bandra,427
Uber,Bike,Kurla,Bandra,437
Ola,Mini,Chembur,Bhiwandi,709
Uber,Prime,Chembur,Bhiwandi,756
Ola,Auto,Kurla,Ghatkopar,236
Uber,Sedan,Kurla,Ghatkopar,295
Ola,Prime,Andheri,Vasai,677
Uber,Mini,Andheri,Vasai,619
Ola,XL,Mira Road,Kalyan,497
Uber,XL,Mira Road,Kalyan,498
Ola,Prime,Kalyan,Bandra,377
Uber,XL,Kalyan,Bandra,355
Ola,Sedan,Seawoods,Mulund,723
Uber,Mini,Seawoods,Mulund,649
Ola,Prime,Vikhroli,Colaba,383
Uber,Sedan,Vikhroli,Colaba,366
Ola,Auto,Nerul,Mumbai Central,313
Uber,Auto,Nerul,Mumbai Central,305
Ola,Bike,Thane,Mira Road,338
Uber,Sedan,Thane,Mira Road,357
Ola,Sedan,Nerul,Borivali,607
Uber,Mini,Nerul,Borivali,680
Ola,Auto,Dadar,Bhiwandi,233
Uber,Bike,Dadar,Bhiwandi,239
Ola,Auto,Seawoods,Andheri,302
Uber,Sedan,Seawoods,Andheri,310
Ola,Auto,Borivali,Bandra,511
Uber,Prime,Borivali,Bandra,534
Ola,Bike,Borivali,Chembur,362
Uber,Bike,Borivali,Chembur,429
Ola,Auto,Chembur,Panvel,435
Uber,Mini,Chembur,Panvel,454
Ola,XL,Bhiwandi,Nerul,390
Uber,Bike,Bhiwandi,Nerul,356
Ola,XL,Nerul,Chembur,490
Uber,XL,Nerul,Chembur,524
Ola,Sedan,Mira Road,Mumbai Central,590
Uber,Prime,Mira Road,Mumbai Central,621
Ola,Sedan,Colaba,Kurla,359
Uber,Mini,Colaba,Kurla,372
Ola,Prime,Mira Road,Mumbai Central,587
Uber,Bike,Mira Road,Mumbai Central,552
Ola,Prime,Nerul,Seawoods,616
Uber,Auto,Nerul,Seawoods,570
Ola,Mini,Mumbai Central,Thane,453
Uber,XL,Mumbai Central,Thane,459
Ola,Auto,Kurla,Ghatkopar,513
Uber,XL,Kurla,Ghatkopar,474
Ola,Prime,Kurla,Chembur,461
Uber,Bike,Kurla,Chembur,470
Ola,Sedan,Vikhroli,Kalyan,685
Uber,XL,Vikhroli,Kalyan,685
Ola,XL,Seawoods,Mulund,254
Uber,Mini,Seawoods,Mulund,347
Ola,Bike,Nerul,Kalyan,513
Uber,Prime,Nerul,Kalyan,537
Ola,Bike,Kalyan,Ghatkopar,327
Uber,Auto,Kalyan,Ghatkopar,311
Ola,XL,Panvel,Dadar,285
Uber,Bike,Panvel,Dadar,254
Ola,Mini,Panvel,Dadar,691
Uber,Bike,Panvel,Dadar,665
Ola,XL,Thane,Bandra,260
Uber,Sedan,Thane,Bandra,252
Ola,Bike,Borivali,Powai,323
Uber,Bike,Borivali,Powai,291
Ola,Prime,Bhiwandi,Nerul,489
Uber,Mini,Bhiwandi,Nerul,500
Ola,Auto,Kalyan,Bandra,518
Uber,Bike,Kalyan,Bandra,499
Ola,Bike,Panvel,Chembur,616
Uber,Mini,Panvel,Chembur,623
Ola,Bike,Powai,Chembur,585
Uber,Mini,Powai,Chembur,605
Ola,Auto,Nerul,Andheri,631
Uber,Prime,Nerul,Andheri,653
Ola,Auto,Borivali,Kalyan,247
Uber,Sedan,Borivali,Kalyan,270
Ola,Sedan,Vikhroli,Kurla,560
Uber,Auto,Vikhroli,Kurla,536
Ola,Bike,Andheri,Mumbai Central,674
Uber,XL,Andheri,Mumbai Central,672
Ola,Mini,Kurla,Mumbai Central,424
Uber,Prime,Kurla,Mumbai Central,505
Ola,Prime,Mira Road,Panvel,719
Uber,XL,Mira Road,Panvel,632
Ola,Bike,Mumbai Central,Ghatkopar,572
Uber,Bike,Mumbai Central,Ghatkopar,615
Ola,Bike,Mira Road,Mumbai Central,821
Uber,Auto,Mira Road,Mumbai Central,819
Ola,Mini,Chembur,Borivali,786
Uber,Auto,Chembur,Borivali,741
Ola,Bike,Kurla,Dadar,780
Uber,XL,Kurla,Dadar,785
Ola,Mini,Andheri,Powai,775
Uber,Prime,Andheri,Powai,779
Ola,Prime,Mumbai Central,Dadar,747
Uber,Bike,Mumbai Central,Dadar,690
Ola,Bike,Mira Road,Chembur,242
Uber,XL,Mira Road,Chembur,169
Ola,Sedan,Dadar,Powai,507
Uber,Mini,Dadar,Powai,531
Ola,Bike,Seawoods,Panvel,361
Uber,Sedan,Seawoods,Panvel,343
Ola,Prime,Colaba,Vikhroli,202
Uber,Prime,Colaba,Vikhroli,215
Ola,Mini,Vasai,Dadar,562
Uber,Sedan,Vasai,Dadar,585
Ola,XL,Borivali,Chembur,448
Uber,Mini,Borivali,Chembur,477
Ola,Auto,Borivali,Vasai,745
Uber,XL,Borivali,Vasai,731
Ola,Sedan,Mulund,Kalyan,567
Uber,Bike,Mulund,Kalyan,554
Ola,Auto,Powai,Andheri,306
Uber,Bike,Powai,Andheri,364
Ola,Mini,Vikhroli,Mumbai Central,674
Uber,XL,Vikhroli,Mumbai Central,671
Ola,Mini,Bhiwandi,Seawoods,733
Uber,Prime,Bhiwandi,Seawoods,696
Ola,Sedan,Kalyan,Panvel,222
Uber,XL,Kalyan,Panvel,276
Ola,Bike,Colaba,Mulund,198
Uber,Sedan,Colaba,Mulund,171
Ola,XL,Ghatkopar,Panvel,371
Uber,Auto,Ghatkopar,Panvel,448
Ola,Mini,Panvel,Dadar,699
Uber,Auto,Panvel,Dadar,702
Ola,Mini,Mira Road,Panvel,460
Uber,Auto,Mira Road,Panvel,460
Ola,Mini,Thane,Borivali,652
Uber,Bike,Thane,Borivali,675
Ola,Auto,Panvel,Powai,753
Uber,Sedan,Panvel,Powai,771
Ola,Sedan,Mulund,Nerul,453
Uber,Auto,Mulund,Nerul,456
Ola,XL,Seawoods,Chembur,351
Uber,Sedan,Seawoods,Chembur,269
Ola,Bike,Bandra,Chembur,528
Uber,Auto,Bandra,Chembur,527
Ola,Auto,Seawoods,Mumbai Central,801
Uber,XL,Seawoods,Mumbai Central,769
Ola,Bike,Mumbai Central,Powai,397
Uber,XL,Mumbai Central,Powai,448
Ola,Auto,Vasai,Colaba,313
Uber,XL,Vasai,Colaba,389
Ola,XL,Kurla,Colaba,425
Uber,Auto,Kurla,Colaba,402
Ola,Mini,Borivali,Thane,487
Uber,Sedan,Borivali,Thane,500
Ola,Auto,Bhiwandi,Chembur,632
Uber,Bike,Bhiwandi,Chembur,613
Ola,Bike,Vasai,Kalyan,478
Uber,Bike,Vasai,Kalyan,497
Ola,Auto,Seawoods,Mira Road,690
Uber,Sedan,Seawoods,Mira Road,753
Ola,Prime,Vasai,Powai,498
Uber,Mini,Vasai,Powai,563
Ola,Sedan,Dadar,Thane,245
Uber,Mini,Dadar,Thane,215
Ola,Bike,Powai,Kalyan,349
Uber,Sedan,Powai,Kalyan,322
Ola,Prime,Bhiwandi,Mira Road,792
Uber,Auto,Bhiwandi,Mira Road,790
Ola,Bike,Mulund,Borivali,547
Uber,Mini,Mulund,Borivali,560
Ola,Bike,Chembur,Panvel,296
Uber,Prime,Chembur,Panvel,282
Ola,Auto,Powai,Nerul,477
Uber,Prime,Powai,Nerul,483
Ola,Auto,Andheri,Kurla,649
Uber,Mini,Andheri,Kurla,734
Ola,Bike,Borivali,Bhiwandi,775
Uber,XL,Borivali,Bhiwandi,776
Ola,XL,Powai,Vikhroli,645
Uber,Auto,Powai,Vikhroli,691
Ola,Prime,Ghatkopar,Mumbai Central,270
Uber,Sedan,Ghatkopar,Mumbai Central,264
Ola,Prime,Seawoods,Ghatkopar,495
Uber,Auto,Seawoods,Ghatkopar,436
Ola,XL,Borivali,Powai,604
Uber,Bike,Borivali,Powai,603
Ola,Auto,Bhiwandi,Colaba,209
Uber,XL,Bhiwandi,Colaba,191
Ola,Auto,Colaba,Ghatkopar,375
Uber,Auto,Colaba,Ghatkopar,380
Ola,Auto,Nerul,Kalyan,431
Uber,Bike,Nerul,Kalyan,441
Ola,Sedan,Borivali,Andheri,544
Uber,Bike,Borivali,Andheri,611
Ola,Sedan,Mumbai Central,Kurla,539
Uber,Sedan,Mumbai Central,Kurla,582
Ola,XL,Kurla,Thane,311
Uber,Sedan,Kurla,Thane,288
Ola,Bike,Andheri,Ghatkopar,458
Uber,XL,Andheri,Ghatkopar,475
Ola,XL,Thane,Vikhroli,222
Uber,Mini,Thane,Vikhroli,273
Ola,Prime,Nerul,Panvel,741
Uber,Prime,Nerul,Panvel,721
Ola,Auto,Powai,Mumbai Central,443
Uber,Sedan,Powai,Mumbai Central,472
Ola,Mini,Mumbai Central,Seawoods,427
Uber,Mini,Mumbai Central,Seawoods,403
Ola,Auto,Powai,Bandra,701
Uber,Prime,Powai,Bandra,691
Ola,Sedan,Kalyan,Thane,677
Uber,XL,Kalyan,Thane,631
Ola,XL,Ghatkopar,Colaba,566
Uber,Sedan,Ghatkopar,Colaba,556
Ola,XL,Mumbai Central,Colaba,348
Uber,Sedan,Mumbai Central,Colaba,320
Ola,Sedan,Colaba,Bhiwandi,646
Uber,Mini,Colaba,Bhiwandi,681
Ola,Sedan,Ghatkopar,Powai,334
Uber,XL,Ghatkopar,Powai,357
Ola,Auto,Borivali,Panvel,368
Uber,Auto,Borivali,Panvel,386
Ola,Mini,Kurla,Dadar,216
Uber,Bike,Kurla,Dadar,213
Ola,XL,Powai,Colaba,696
Uber,Mini,Powai,Colaba,648
Ola,Sedan,Nerul,Mira Road,375
Uber,Prime,Nerul,Mira Road,393
Ola,Sedan,Borivali,Dadar,385
Uber,Mini,Borivali,Dadar,410
Ola,Auto,Bhiwandi,Vikhroli,655
Uber,XL,Bhiwandi,Vikhroli,680
Ola,Mini,Seawoods,Mumbai Central,383
Uber,Prime,Seawoods,Mumbai Central,392
Ola,Prime,Mumbai Central,Vikhroli,676
Uber,Bike,Mumbai Central,Vikhroli,666
Ola,Mini,Thane,Vasai,386
Uber,Prime,Thane,Vasai,355
Ola,Auto,Mumbai Central,Kalyan,631
Uber,Prime,Mumbai Central,Kalyan,596
Ola,Auto,Mulund,Dadar,334
Uber,Auto,Mulund,Dadar,326
Ola,Auto,Borivali,Dadar,510
Uber,Prime,Borivali,Dadar,549
Ola,Mini,Mulund,Bhiwandi,612
Uber,XL,Mulund,Bhiwandi,639
Ola,Sedan,Mira Road,Thane,312
Uber,Mini,Mira Road,Thane,349
Ola,XL,Andheri,Bandra,295
Uber,Prime,Andheri,Bandra,334
Ola,Mini,Bandra,Kurla,513
Uber,Bike,Bandra,Kurla,525
Ola,XL,Mumbai Central,Mira Road,292
Uber,Sedan,Mumbai Central,Mira Road,332
Ola,Auto,Andheri,Nerul,537
Uber,Mini,Andheri,Nerul,479
Ola,XL,Seawoods,Kurla,410
Uber,XL,Seawoods,Kurla,403
Ola,Bike,Mumbai Central,Vikhroli,549
Uber,Auto,Mumbai Central,Vikhroli,556
Ola,Sedan,Dadar,Bhiwandi,371
Uber,Auto,Dadar,Bhiwandi,293
Ola,Sedan,Mulund,Vikhroli,769
Uber,Mini,Mulund,Vikhroli,750
Ola,Auto,Colaba,Mira Road,542
Uber,Prime,Colaba,Mira Road,512
Ola,Sedan,Ghatkopar,Mumbai Central,405
Uber,Auto,Ghatkopar,Mumbai Central,442
Ola,Prime,Powai,Mira Road,390
Uber,Sedan,Powai,Mira Road,465
Ola,XL,Bhiwandi,Powai,311
Uber,Auto,Bhiwandi,Powai,284
Ola,XL,Powai,Thane,226
Uber,Mini,Powai,Thane,259
Ola,Auto,Powai,Dadar,470
Uber,Prime,Powai,Dadar,454
Ola,Bike,Panvel,Chembur,329
Uber,Auto,Panvel,Chembur,322
Ola,XL,Bhiwandi,Nerul,489
Uber,Bike,Bhiwandi,Nerul,424
Ola,Bike,Chembur,Dadar,259
Uber,Auto,Chembur,Dadar,257
Ola,Auto,Mulund,Bandra,414
Uber,XL,Mulund,Bandra,471
Ola,XL,Nerul,Dadar,485
Uber,XL,Nerul,Dadar,572
Ola,Auto,Panvel,Vikhroli,426
Uber,Sedan,Panvel,Vikhroli,361
Ola,Sedan,Nerul,Vikhroli,649
Uber,Sedan,Nerul,Vikhroli,571
Ola,Bike,Andheri,Powai,427
Uber,XL,Andheri,Powai,385
Ola,Mini,Mira Road,Panvel,730
Uber,Mini,Mira Road,Panvel,747
Ola,XL,Bhiwandi,Mulund,459
Uber,Mini,Bhiwandi,Mulund,501
Ola,Mini,Panvel,Kalyan,755
Uber,Sedan,Panvel,Kalyan,786
Ola,Prime,Andheri,Kalyan,445
Uber,Mini,Andheri,Kalyan,368
Ola,Prime,Andheri,Mira Road,646
Uber,Auto,Andheri,Mira Road,640
Ola,Mini,Borivali,Nerul,761
Uber,Sedan,Borivali,Nerul,762
Ola,XL,Mira Road,Thane,564
Uber,Bike,Mira Road,Thane,512
Ola,Sedan,Kurla,Ghatkopar,309
Uber,XL,Kurla,Ghatkopar,327
Ola,XL,Ghatkopar,Kalyan,647
Uber,XL,Ghatkopar,Kalyan,577
Ola,Auto,Andheri,Vasai,670
Uber,Mini,Andheri,Vasai,670
Ola,Bike,Panvel,Kurla,274
Uber,Sedan,Panvel,Kurla,350
Ola,Bike,Seawoods,Kurla,776
Uber,Mini,Seawoods,Kurla,730
Ola,Mini,Dadar,Thane,407
Uber,XL,Dadar,Thane,414
Ola,Mini,Bhiwandi,Andheri,439
Uber,Auto,Bhiwandi,Andheri,439
Ola,Mini,Nerul,Mulund,550
Uber,Mini,Nerul,Mulund,638
Ola,Mini,Borivali,Kalyan,229
Uber,Sedan,Borivali,Kalyan,202
Ola,Bike,Mulund,Seawoods,500
Uber,Sedan,Mulund,Seawoods,527
Ola,Mini,Kurla,Powai,213
Uber,Prime,Kurla,Powai,205
Ola,XL,Dadar,Kalyan,473
Uber,Mini,Dadar,Kalyan,437
Ola,Auto,Vasai,Vikhroli,474
Uber,Mini,Vasai,Vikhroli,431
Ola,Auto,Mira Road,Vasai,458
Uber,XL,Mira Road,Vasai,428
Ola,Sedan,Powai,Bhiwandi,578
Uber,Prime,Powai,Bhiwandi,604
Ola,XL,Bandra,Thane,397
Uber,Auto,Bandra,Thane,389
Ola,Auto,Mira Road,Thane,788
Uber,Auto,Mira Road,Thane,745
Ola,Prime,Thane,Kurla,514
Uber,Bike,Thane,Kurla,500
Ola,Sedan,Seawoods,Andheri,657
Uber,Auto,Seawoods,Andheri,643
Ola,Prime,Ghatkopar,Seawoods,364
Uber,Bike,Ghatkopar,Seawoods,325
Ola,XL,Colaba,Vikhroli,559
Uber,Sedan,Colaba,Vikhroli,617
Ola,XL,Powai,Seawoods,370
Uber,Sedan,Powai,Seawoods,297
Ola,Sedan,Colaba,Bandra,252
Uber,Bike,Colaba,Bandra,251
Ola,XL,Mulund,Bhiwandi,638
Uber,Sedan,Mulund,Bhiwandi,632
Ola,Bike,Vasai,Dadar,580
Uber,Mini,Vasai,Dadar,485
Ola,XL,Mira Road,Thane,604
Uber,Bike,Mira Road,Thane,587
Ola,Auto,Bhiwandi,Bandra,304
Uber,Bike,Bhiwandi,Bandra,330
Ola,Mini,Thane,Seawoods,764
Uber,Auto,Thane,Seawoods,731
Ola,Bike,Borivali,Mumbai Central,593
Uber,Sedan,Borivali,Mumbai Central,631
Ola,Mini,Vasai,Kurla,455
Uber,Prime,Vasai,Kurla,419
Ola,Bike,Powai,Bandra,376
Uber,Mini,Powai,Bandra,408
Ola,Mini,Chembur,Bhiwandi,278
Uber,Prime,Chembur,Bhiwandi,351
Ola,Prime,Mira Road,Seawoods,792
Uber,XL,Mira Road,Seawoods,742
Ola,Auto,Dadar,Kurla,500
Uber,Sedan,Dadar,Kurla,580
Ola,XL,Kalyan,Mumbai Central,256
Uber,Auto,Kalyan,Mumbai Central,257
Ola,XL,Panvel,Vasai,669
Uber,Sedan,Panvel,Vasai,735
Ola,Prime,Mumbai Central,Andheri,485
Uber,Mini,Mumbai Central,Andheri,524
Ola,Prime,Thane,Andheri,467
Uber,Bike,Thane,Andheri,425
Ola,XL,Thane,Mumbai Central,569
Uber,Auto,Thane,Mumbai Central,606
Ola,Mini,Dadar,Andheri,191
Uber,Bike,Dadar,Andheri,231
Ola,Sedan,Panvel,Seawoods,548
Uber,Mini,Panvel,Seawoods,553
Ola,XL,Kurla,Ghatkopar,326
Uber,Auto,Kurla,Ghatkopar,329
Ola,Mini,Seawoods,Mumbai Central,364
Uber,Bike,Seawoods,Mumbai Central,403
Ola,Mini,Colaba,Thane,529
Uber,Prime,Colaba,Thane,545
Ola,Prime,Thane,Andheri,681
Uber,Sedan,Thane,Andheri,665
Ola,Sedan,Colaba,Dadar,308
Uber,Auto,Colaba,Dadar,334
Ola,Bike,Nerul,Vasai,397
Uber,Auto,Nerul,Vasai,395
Ola,XL,Thane,Bhiwandi,639
Uber,Bike,Thane,Bhiwandi,678
Ola,Sedan,Borivali,Vasai,236
Uber,Bike,Borivali,Vasai,223
Ola,XL,Nerul,Vasai,782
Uber,Auto,Nerul,Vasai,744
Ola,Bike,Borivali,Vikhroli,542
